team,year,name,id
chicago-bulls,2019,Chandler Hutchison,26988
chicago-bulls,2019,Luke Kornet,23670
chicago-bulls,2019,Daniel Gafford,31597
chicago-bulls,2019,Shaquille Harrison,21066
cleveland-cavaliers,2019,Kevin Love,6132
cleveland-cavaliers,2019,Andre Drummond,10817
cleveland-cavaliers,2019,Tristan Thompson,8054
cleveland-cavaliers,2019,Larry Nance Jr.,17855
cleveland-cavaliers,2019,Matthew Dellavedova,13478
cleveland-cavaliers,2019,Dante Exum,15357
cleveland-cavaliers,2019,Darius Garland,31562
cleveland-cavaliers,2019,Collin Sexton,26974
cleveland-cavaliers,2019,Cedi Osman,17859
cleveland-cavaliers,2019,Ante Zizic,20228
cleveland-cavaliers,2019,Dylan Windler,31585
cleveland-cavaliers,2019,Alfonzo McKinnie,24106
cleveland-cavaliers,2019,Kevin Porter Jr.,31589
cleveland-cavaliers,2019,Dean Wade,31963
cleveland-cavaliers,2019,Jordan Bell,23633
dallas-mavericks,2019,Kristaps Porzingis,17832
dallas-mavericks,2019,Tim Hardaway Jr.,13337
dallas-mavericks,2019,Courtney Lee,6144
dallas-mavericks,2019,Dwight Powell,15397
dallas-mavericks,2019,Delon Wright,17848
dallas-mavericks,2019,Maxi Kleber,24212
dallas-mavericks,2019,Luka Doncic,26969
dallas-mavericks,2019,Seth Curry,13512
dallas-mavericks,2019,Dorian Finney-Smith,20757
dallas-mavericks,2019,Boban Marjanovic,17984
dallas-mavericks,2019,Justin Jackson,23610
dallas-mavericks,2019,Jose Barea,2269
dallas-mavericks,2019,Jalen Brunson,26999
dallas-mavericks,2019,Michael Kidd-Gilchrist,10810
dallas-mavericks,2019,Ryan Broekhoff,27626
denver-nuggets,2019,Paul Millsap,2754
denver-nuggets,2019,Nikola Jokic,15393
denver-nuggets,2019,Gary Harris,15371
denver-nuggets,2019,Mason Plumlee,13335
denver-nuggets,2019,Will Barton,10865
denver-nuggets,2019,Jerami Grant,15391
denver-nuggets,2019,Jamal Murray,20212
denver-nuggets,2019,Michael Porter Jr.,26980
denver-nuggets,2019,Torrey Craig,24230
denver-nuggets,2019,Noah Vonleh,15361
denver-nuggets,2019,Monte Morris,23652
denver-nuggets,2019,Keita Bates-Diop,27014
denver-nuggets,2019,Vlatko Cancar,23650
denver-nuggets,2019,P.J. Dozier,23668
denver-nuggets,2019,Bol Bol,31603
detroit-pistons,2019,Blake Griffin,6501
detroit-pistons,2019,Brandon Knight,8058
detroit-pistons,2019,Tony Snell,13333
detroit-pistons,2019,John Henson,10822
detroit-pistons,2019,Langston Galloway,15824
detroit-pistons,2019,Derrick Rose,6095
detroit-pistons,2019,Luke Kennard,23607
detroit-pistons,2019,Thon Maker,20215
detroit-pistons,2019,Sekou Doumbouya,31572
detroit-pistons,2019,Jordan McRae,15410
detroit-pistons,2019,Christian Wood,18218
detroit-pistons,2019,Bruce Brown,27008
detroit-pistons,2019,Sviatoslav Mykhailiuk,27013
detroit-pistons,2019,Khyri Thomas,27004
detroit-pistons,2019,Justin Patton,23611
golden-state-warriors,2019,Stephen Curry,6287
golden-state-warriors,2019,Klay Thompson,8062
golden-state-warriors,2019,Andrew Wiggins,15353
golden-state-warriors,2019,Draymond Green,10860
golden-state-warriors,2019,Kevon Looney,17858
